Nombre,Cantidad,Precio,Descripción,Marca
Smartphone Samsung Galaxy S21,20,799.99,Smartphone de última generación con cámara de 108 MP,Samsung
Laptop HP Pavilion 15,15,699.99,Laptop con procesador Intel Core i5 y pantalla de 15.6",HP
Televisor Sony Bravia 55",10,899.99,Televisor 4K con HDR y Smart TV integrado,Sony
Tablet Apple iPad Air,25,499.99,Tablet con pantalla Retina y chip A14 Bionic,Apple
Refrigerador LG Inverter,5,1299.99,Refrigerador de dos puertas con tecnología Inverter,LG
Auriculares Bose QuietComfort 35 II,30,249.99,Auriculares con cancelación de ruido y sonido premium,Bose
Cámara Canon EOS 80D,12,899.99,Cámara DSLR con sensor CMOS de 24.2 MP y pantalla táctil,Canon
Consola de Videojuegos Xbox Series X,8,499.99,Consola de próxima generación con capacidad 4K,Xbox
Aspiradora Dyson V11,18,399.99,Aspiradora sin cable con tecnología Cyclone V11,Dyson
Portátil Asus ROG Zephyrus,10,1299.99,Laptop gaming con GPU NVIDIA RTX 3080,Asus
Smartwatch Apple Watch Series 7,40,349.99,Reloj inteligente con monitor de salud avanzado,Apple
Cámara de Seguridad Ring Video Doorbell,35,199.99,Cámara de timbre con detección de movimiento y video en tiempo real,Ring
Altavoz Bluetooth JBL Flip 5,50,99.99,Altavoz portátil con sonido de alta calidad,JBL
Impresora HP OfficeJet Pro 9015,22,199.99,Impresora multifuncional con impresión a color,HP
Sistema de Sonido Sonos Beam,14,449.99,Barra de sonido inteligente con asistente de voz,Sonos
Lavadora Whirlpool de Carga Frontal,8,599.99,Lavadora de alta eficiencia con capacidad de 4.5 cu ft,Whirlpool
Router Wi-Fi TP-Link Archer C4000,17,129.99,Router de alto rendimiento con Wi-Fi 6,TP-Link
Teclado Mecánico Corsair K95 RGB Platinum,20,179.99,Teclado mecánico para juegos con retroiluminación RGB,Corsair
Monitor Dell Ultrasharp U2719D,10,349.99,Monitor QHD de 27 pulgadas con colores precisos,Dell
Secadora LG TurboSteam,6,699.99,Secadora con capacidad de 7.4 cu ft y tecnología TurboSteam,LG
Licuadora NutriBullet Pro,30,79.99,Licuadora de alta velocidad para batidos y smoothies,NutriBullet
Micrófono Blue Yeti USB,25,129.99,Micrófono USB de condensador para grabaciones de alta calidad,Blue
Robot Aspirador iRobot Roomba i7+,10,699.99,Robot aspirador con estación de autovaciado,iRobot
Proyector Epson Home Cinema 5050UB,9,2299.99,Proyector 4K con HDR y tecnología de mejora de imagen,Epson
Cafetera Nespresso Vertuo Plus,28,169.99,Cafetera de cápsulas con sistema de preparación de café y espresso,Nespresso
Plancha de Vapor Rowenta DW5080,20,69.99,Plancha de vapor con suela de acero inoxidable,Rowenta
Mouse Logitech MX Master 3,15,99.99,Ratón ergonómico inalámbrico con seguimiento de alta precisión,Logitech
Barra de Sonido Samsung HW-Q950T,7,999.99,Barra de sonido con sonido envolvente 9.1.4,Samsung
Ventilador Dyson Pure Cool TP04,12,449.99,Ventilador purificador de aire con filtro HEPA,Dyson
Smartwatch Garmin Forerunner 245,15,299.99,Reloj deportivo con GPS y monitor de frecuencia cardíaca,Garmin
Impresora Epson EcoTank ET-2720,10,249.99,Impresora de tanque de tinta con sistema EcoTank,Epson
Silla de Oficina Ergonómica,20,199.99,Silla de oficina ajustable con soporte lumbar,Desconocida
Horno de Microondas Panasonic,12,129.99,Horno de microondas con 1200W de potencia,Panasonic
Laptop Dell XPS 13,8,1199.99,Laptop ultradelgada con pantalla InfinityEdge,Dell
Bicicleta de Montaña Trek,5,899.99,Bicicleta de montaña de aluminio con suspensión delantera,Trek
Reproductor de Blu-ray Sony,18,79.99,Reproductor de Blu-ray con reproducción 4K Ultra HD,Sony
Cámara GoPro Hero 9,10,349.99,Cámara de acción con pantalla táctil y grabación 5K,GoPro
Teclado Inalámbrico Logitech K780,15,69.99,Teclado inalámbrico compatible con múltiples dispositivos,Logitech
Sofá de Cuero Seccional,7,1499.99,Sofá de cuero seccional con asientos reclinables,Desconocida
Reproductor de MP3 Sony Walkman,30,49.99,Reproductor de música portátil con auriculares,Sony
Hervidor de Agua Hamilton Beach,25,29.99,Hervidor eléctrico con capacidad de 1.7 litros,Hamilton Beach
Mochila Targus para Laptop,20,39.99,Mochila para laptop de 15 pulgadas con compartimentos,Targus
Reloj Casio G-Shock,15,99.99,Reloj deportivo resistente a golpes y agua,Casio
Cámara Mirrorless Sony Alpha a6400,12,999.99,Cámara sin espejo con sensor APS-C y grabación 4K,Sony
Tablet Samsung Galaxy Tab S7,18,649.99,Tablet con pantalla Super AMOLED y S Pen,Samsung
Auriculares Inalámbricos Bose Sport,20,199.99,Auriculares deportivos inalámbricos con resistencia al sudor,Bose
Batería Externa Anker PowerCore,30,49.99,Batería portátil de 20.000 mAh con carga rápida,Anker
Horno Tostador Black+Decker,10,59.99,Horno tostador con capacidad de 4 rebanadas,Black+Decker
Lavavajillas Whirlpool,7,499.99,Lavavajillas empotrable con capacidad de 12 cubiertos,Whirlpool
Cámara GoPro HERO10 Black,15,499.99,Cámara de acción 5.3K con estabilización avanzada,GoPro
Portátil Lenovo ThinkPad X1 Carbon,12,1399.99,Portátil ultradelgado con pantalla 4K y procesador Intel,Lenovo
Refrigerador Samsung Family Hub,8,2999.99,Refrigerador inteligente con pantalla táctil y cámara interior,Samsung
Smartphone Google Pixel 6,20,699.99,Smartphone con cámara avanzada y Android 12,Google
Auriculares Sony WH-1000XM4,25,349.99,Auriculares con cancelación de ruido y sonido de alta resolución,Sony
Tablet Microsoft Surface Pro 7,15,799.99,Tablet con Windows 10 y soporte para Surface Pen,Microsoft
Impresora Epson EcoTank ET-4760,10,499.99,Impresora de tanque de tinta con sistema de relleno fácil,Epson
Monitor LG Ultragear 27GL83A-B,12,499.99,Monitor gaming QHD de 27 pulgadas con alta tasa de actualización,LG
Barra de Sonido Bose Soundbar 700,10,799.99,Barra de sonido premium con asistente de voz integrado,Bose
Robot Aspirador Shark IQ RV1001,18,349.99,Robot aspirador con mapeo inteligente y control por voz,Shark
